sid,window_idx,label,label_name,win_start_s,win_end_s,art_frac,mean_hr,rmssd,sdnn,pnn50,scr_count,scr_max_amp,scr_energy,scr_epeak,scl_mean
13,4,1,baseline,120.0,180.0,0.13333333333333333,71.66853332519531,224.6826629638672,237.99478149414062,0.6530612244897959,4.0,0.16005830466747284,1.961477279663086,0.4903693199157715,8.10750961303711
13,5,1,baseline,150.0,210.0,0.08333333333333333,74.28345489501953,186.80697631835938,208.9071807861328,0.4583333333333333,4.0,0.20120027661323547,2.113248348236084,0.528312087059021,8.044201850891113
13,6,1,baseline,180.0,240.0,0.06666666666666667,82.73764038085938,126.20397186279297,126.42711639404297,0.43283582089552236,1.0,0.20120027661323547,0.9609388113021851,0.9609388113021851,7.980315208435059
13,7,1,baseline,210.0,270.0,0.03333333333333333,82.48512268066406,153.24253845214844,149.7177276611328,0.65625,1.0,0.1253674328327179,0.4590311050415039,0.4590311050415039,7.868659019470215
13,8,1,baseline,240.0,300.0,0.08333333333333333,77.84857177734375,155.74462890625,170.1615447998047,0.6666666666666666,1.0,0.11776722967624664,0.2895081043243408,0.2895081043243408,7.653619289398193
13,9,1,baseline,270.0,330.0,0.08333333333333333,82.52845001220703,138.5964813232422,159.23255920410156,0.54,0.0,0.0,0.5257576704025269,0.0,7.280287265777588
13,10,1,baseline,300.0,360.0,0.0,86.2921371459961,136.2611541748047,105.75892639160156,0.5254237288135594,2.0,0.28798168897628784,1.710010290145874,0.855005145072937,6.897149085998535
13,11,1,baseline,330.0,390.0,0.06666666666666667,82.16649627685547,142.28244018554688,132.00375366210938,0.5396825396825397,2.0,0.28798168897628784,1.600979208946228,0.800489604473114,6.7301926612854
13,12,1,baseline,360.0,420.0,0.15,80.0,155.69285583496094,157.4109344482422,0.4745762711864407,1.0,0.09831753373146057,0.6345159411430359,0.6345159411430359,6.542401313781738
13,13,1,baseline,390.0,450.0,0.11666666666666667,83.32730865478516,123.46782684326172,124.8771743774414,0.2542372881355932,2.0,0.2215772122144699,0.7056980133056641,0.35284900665283203,6.266887187957764
13,14,1,baseline,420.0,480.0,0.06666666666666667,82.09026336669922,174.91806030273438,147.23072814941406,0.4838709677419355,4.0,0.2215772122144699,1.0598225593566895,0.26495563983917236,5.984113693237305
13,15,1,baseline,450.0,510.0,0.06666666666666667,82.04553985595703,202.31207275390625,167.6521759033203,0.5333333333333333,3.0,0.19089487195014954,0.9775395393371582,0.32584651311238605,5.73150110244751
13,16,1,baseline,480.0,540.0,0.1,87.85357666015625,118.42517852783203,115.2785415649414,0.35185185185185186,2.0,0.11655353754758835,0.5396021008491516,0.2698010504245758,5.544755935668945
13,17,1,baseline,510.0,570.0,0.06666666666666667,85.1478271484375,124.9609375,94.74754333496094,0.48,2.0,0.11655353754758835,0.30251550674438477,0.15125775337219238,5.386377811431885
13,18,1,baseline,540.0,600.0,0.0,82.36341857910156,133.57037353515625,98.8319320678711,0.38461538461538464,0.0,0.0,0.01360701210796833,0.0,5.203930854797363
13,19,1,baseline,570.0,630.0,0.016666666666666666,83.98384857177734,126.13921356201172,86.886962890625,0.296875,0.0,0.0,0.10518845915794373,0.0,4.983825206756592
13,20,1,baseline,600.0,660.0,0.016666666666666666,84.92890930175781,115.71003723144531,90.75425720214844,0.34782608695652173,0.0,0.0,0.32669728994369507,0.0,4.75341796875
13,21,1,baseline,630.0,690.0,0.0,80.05294799804688,194.70166015625,202.5225372314453,0.532258064516129,2.0,0.8188925385475159,14.264018058776855,7.132009029388428,4.587987899780273
13,22,1,baseline,660.0,720.0,0.0,76.00259399414062,230.21481323242188,222.76095581054688,0.6666666666666666,4.0,0.8188925385475159,14.383833885192871,3.5959584712982178,4.4206318855285645
13,23,1,baseline,690.0,750.0,0.0,77.4854507446289,206.1195068359375,178.4856719970703,0.6666666666666666,3.0,0.18613503873348236,1.4266849756240845,0.4755616585413615,4.25838565826416
13,24,1,baseline,720.0,780.0,0.016666666666666666,82.5028305053711,195.12266540527344,174.16969299316406,0.5,4.0,0.1682118922472,1.8353081941604614,0.45882704854011536,4.119657039642334
13,25,1,baseline,750.0,810.0,0.03333333333333333,81.99736785888672,180.2174530029297,177.47811889648438,0.390625,3.0,0.1682118922472,0.7725788950920105,0.2575262983640035,4.010474681854248
13,26,1,baseline,780.0,840.0,0.06666666666666667,80.51612854003906,142.00172424316406,156.4433135986328,0.375,0.0,0.0,0.24321821331977844,0.0,3.9793477058410645
13,27,1,baseline,810.0,870.0,0.05,84.92052459716797,141.27110290527344,126.83024597167969,0.38095238095238093,0.0,0.0,0.2414809912443161,0.0,3.872908353805542
13,28,1,baseline,840.0,900.0,0.0,87.32710266113281,93.75,80.89585876464844,0.19444444444444445,0.0,0.0,0.018898239359259605,0.0,3.7445082664489746
13,29,1,baseline,870.0,930.0,0.0,85.5121841430664,36.76265335083008,33.02471160888672,0.07142857142857142,0.0,0.0,0.005045388825237751,0.0,3.653411865234375
13,30,1,baseline,900.0,960.0,0.016666666666666666,85.78483581542969,116.62015533447266,78.0569839477539,0.22666666666666666,0.0,0.0,0.034207455813884735,0.0,3.581411838531494
13,31,1,baseline,930.0,990.0,0.016666666666666666,82.29399108886719,145.12876892089844,127.97638702392578,0.44285714285714284,0.0,0.0,0.08124881982803345,0.0,3.5522964000701904
13,32,1,baseline,960.0,1020.0,0.03333333333333333,77.92301177978516,192.60011291503906,163.22683715820312,0.5223880597014925,1.0,0.09254235774278641,0.21102163195610046,0.21102163195610046,3.5780699253082275
13,33,1,baseline,990.0,1050.0,0.03333333333333333,80.60150146484375,178.1939239501953,140.14285278320312,0.3787878787878788,1.0,0.09254235774278641,0.1657761037349701,0.1657761037349701,3.578106164932251
13,34,1,baseline,1020.0,1080.0,0.016666666666666666,85.79088592529297,46.875,48.319522857666016,0.13513513513513514,0.0,0.0,0.019646592438220978,0.0,3.5213003158569336
13,35,1,baseline,1050.0,1110.0,0.05,86.557373046875,87.25440979003906,112.7279052734375,0.2236842105263158,0.0,0.0,0.05096907168626785,0.0,3.451915979385376
13,36,1,baseline,1080.0,1140.0,0.08333333333333333,86.14627838134766,122.49275207519531,140.06732177734375,0.3888888888888889,0.0,0.0,0.12119423598051071,0.0,3.3992536067962646
13,37,1,baseline,1110.0,1170.0,0.05,88.2044677734375,98.75055694580078,91.97845458984375,0.34285714285714286,0.0,0.0,0.09004175662994385,0.0,3.3446435928344727
13,38,1,baseline,1140.0,1200.0,0.05,84.43373107910156,106.1177978515625,125.73324584960938,0.2777777777777778,0.0,0.0,0.04966207593679428,0.0,3.284209966659546
13,39,1,baseline,1170.0,1230.0,0.05,79.46370697021484,126.60795593261719,149.7014923095703,0.3142857142857143,0.0,0.0,0.07748109847307205,0.0,3.24143385887146
13,40,1,baseline,1200.0,1260.0,0.016666666666666666,77.60104370117188,124.82376861572266,150.0763397216797,0.4098360655737705,0.0,0.0,0.045393601059913635,0.0,3.167656421661377
13,116,2,stress,3480.0,3540.0,0.2,82.75286865234375,219.59910583496094,240.17681884765625,0.6065573770491803,11.0,0.4766569435596466,10.57999324798584,0.9618175679987128,14.10714340209961
